Plant_name,Molecule,Canonical_SMILES,Formula,Molecular_Weight,`Heavy_atoms,Aromatic_heavy_atoms,Fraction_Csp3,Rotatable_bonds,H_bond_acceptors,H_bond_donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,SilicosIT_LogP,Consensus_LogP,ESOL_LogS,ESOL_Solubility1,ESOL_Solubility2,ESOL_Class,Ali_LogS,Ali_Solubility1,Ali_Solubility2,Ali_Class,SilicosIT_LogSw,SilicosIT_Solubility1,SilicosIT_Solubility2,SilicosIT_class,GI_absorption,BBB_permeant,Pgp_substrate,CYP1A2_inhibitor,CYP2C19_inhibitor,CYP2C9_inhibitor,CYP2D6_inhibitor,CYP3A4_inhibitor,logKp,Lipinski_violations,Ghose_violations,Veber_violations,Egan_violations,Muegge_violations,Bioavailability_Score,PAINS_alert,Brenk_alert,Leadlikeness_violations,Synthetic_Accessibility
Eucalyptus spp.,Astringin,OC[C@H]1O[C@@H](Oc2cc(/C=C/c3ccc(c(c3)O)O)cc(c2)O)[C@@H]([C@H]([C@H]1O)O)O,C20H22O9,406.38,29,12,0.3,5,9,7,102.03,160.07,1.7,0.73,-0.07,-0.87,0,0.3,-2.8,6.51E-01,1.60E-03,Soluble,-3.67,8.68E-02,2.14E-04,Soluble,-1.02,3.90E+01,9.59E-02,Soluble,Low,No,No,No,No,No,No,No,-8.26,1,0,1,1,2,0.55,1,2,1,4.86
Eucalyptus spp.,alpha-Phellandrene,CC1=CC[C@@H](C=C1)C(C)C,C10H16,136.23,10,0,0.6,1,0,0,47.12,0,2.65,3.21,3.16,3.27,2.55,2.97,-2.64,3.11E-01,2.29E-03,Soluble,-2.88,1.79E-01,1.31E-03,Soluble,-1.78,2.27E+00,1.67E-02,Soluble,Low,Yes,No,No,No,No,No,No,-4.85,0,1,0,0,2,0.55,0,0,1,4.15
Eucalyptus spp.,alpha-Terpinene,CC1=CC=C(CC1)C(C)C,C10H16,136.23,10,0,0.6,1,0,0,47.12,0,2.7,4.25,3.31,3.27,2.95,3.3,-3.3,6.89E-02,5.06E-04,Soluble,-3.96,1.49E-02,1.09E-04,Soluble,-2.23,8.06E-01,5.92E-03,Soluble,Low,Yes,No,No,No,No,No,No,-4.11,0,1,0,0,2,0.55,0,0,2,3.63
Eucalyptus spp.,gamma-Terpinene,CC1=CCC(=CC1)C(C)C,C10H16,136.23,10,0,0.6,1,0,0,47.12,0,2.73,4.5,3.31,3.27,2.95,3.35,-3.45,4.79E-02,3.52E-04,Soluble,-4.22,8.19E-03,6.01E-05,Moderately soluble,-2.23,8.06E-01,5.92E-03,Soluble,Low,Yes,No,No,No,No,No,No,-3.94,0,1,0,0,2,0.55,0,1,2,3.11
Eucalyptus spp.,beta-Caryophyllene,CC1=CCCC(=C)[C@@H]2[C@@H](CC1)C(C2)(C)C,C15H24,204.35,15,0,0.73,0,0,0,68.78,0,3.29,4.38,4.73,4.63,4.19,4.24,-3.87,2.78E-02,1.36E-04,Soluble,-4.1,1.64E-02,8.01E-05,Moderately soluble,-3.77,3.49E-02,1.71E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-4.44,1,0,0,0,1,0.55,0,1,2,4.51
Eucalyptus spp.,Isorhamnetin,COc1cc(ccc1O)c1oc2cc(O)cc(c2c(=O)c1O)O,C16H12O7,316.26,23,16,0.06,2,7,4,82.5,120.36,2.35,1.87,2.29,-0.31,2.06,1.65,-3.36,1.38E-01,4.35E-04,Soluble,-4.02,3.03E-02,9.57E-05,Moderately soluble,-3.94,3.65E-02,1.15E-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.9,0,0,0,0,0,0.55,0,0,0,3.26
Eucalyptus spp.,dihydrokaempferol,Oc1ccc(cc1)[C@@H]1Oc2cc(O)cc(c2C(=O)[C@@H]1O)O,C15H12O6,288.25,21,12,0.13,1,6,4,72.73,107.22,1.51,1.31,1.16,-0.1,1.15,1.01,-2.81,4.47E-01,1.55E-03,Soluble,-3.16,1.98E-01,6.88E-04,Soluble,-2.61,7.12E-01,2.47E-03,Soluble,High,No,No,No,No,No,No,No,-7.13,0,0,0,0,0,0.55,0,0,0,3.42
Eucalyptus spp.,(-)-Alpinetin,COc1cc(O)cc2c1C(=O)C[C@H](O2)c1ccccc1,C16H14O4,270.28,20,12,0.19,2,4,1,74.02,55.76,2.13,2.65,2.78,1.52,3.06,2.43,-3.5,8.60E-02,3.18E-04,Soluble,-3.47,9.11E-02,3.37E-04,Soluble,-4.7,5.44E-03,2.01E-05,Moderately soluble,High,Yes,Yes,Yes,Yes,No,No,Yes,-6.07,0,0,0,0,0,0.55,0,0,0,3.08
Eucalyptus spp.,Aromadendrin 3-methyl ether,CO[C@H]1[C@H](Oc2c(C1=O)c(O)cc(c2)O)c1ccc(cc1)O,C16H14O6,302.28,22,12,0.19,2,6,3,77.46,96.22,2.08,1.84,1.81,0.15,1.67,1.51,-3.14,2.16E-01,7.16E-04,Soluble,-3.48,9.98E-02,3.30E-04,Soluble,-3.3,1.50E-01,4.97E-04,Soluble,High,No,Yes,No,No,No,No,No,-6.84,0,0,0,0,0,0.55,0,0,0,3.61
Eucalyptus spp.,7-O-Methylaromadendrin,COc1cc2O[C@@H](c3ccc(cc3)O)[C@H](C(=O)c2c(c1)O)O,C16H14O6,302.28,22,12,0.19,2,6,3,77.2,96.22,2.23,1.63,1.46,0.15,1.67,1.43,-3.01,2.94E-01,9.71E-04,Soluble,-3.26,1.65E-01,5.45E-04,Soluble,-3.3,1.50E-01,4.97E-04,Soluble,High,No,Yes,No,No,No,No,No,-6.99,0,0,0,0,0,0.55,0,0,0,3.52
Eucalyptus spp.,(R)-(-)-Cryptone,CC([C@H]1CCC(=O)C=C1)C,C9H14O,138.21,10,0,0.67,1,1,0,42.99,17.07,2.11,2.02,2.18,1.89,2.18,2.08,-1.9,1.73E+00,1.25E-02,Very soluble,-2.01,1.36E+00,9.87E-03,Soluble,-1.53,4.07E+00,2.94E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.71,0,1,0,0,2,0.55,0,0,1,3.1
Eucalyptus spp.,beta-Phellendrene,CC([C@H]1CCC(=C)C=C1)C,C10H16,136.23,10,0,0.6,1,0,0,47.12,0,2.65,3.44,3.16,3.27,2.84,3.07,-2.79,2.23E-01,1.64E-03,Soluble,-3.12,1.03E-01,7.57E-04,Soluble,-2.03,1.28E+00,9.42E-03,Soluble,Low,Yes,No,No,No,No,No,No,-4.69,0,1,0,0,2,0.55,0,0,1,3.73
Eucalyptus spp.,p-Cymenene,Cc1ccc(cc1)C(=C)C,C10H12,132.2,10,6,0.2,1,0,0,46.31,0,2.43,3.69,3.03,4.38,3.29,3.37,-3.36,5.74E-02,4.34E-04,Soluble,-3.38,5.51E-02,4.17E-04,Soluble,-3.58,3.46E-02,2.62E-04,Soluble,Low,Yes,No,No,No,No,Yes,No,-4.49,1,1,0,0,2,0.55,0,0,2,1.21
Eucalyptus spp.,(S)-(-)-Phellandral,O=CC1=CC[C@H](CC1)C(C)C,C10H16O,152.23,11,0,0.7,2,1,0,47.8,17.07,2.2,2.69,2.57,2.2,2.63,2.46,-2.35,6.85E-01,4.50E-03,Soluble,-2.7,3.03E-01,1.99E-03,Soluble,-1.82,2.29E+00,1.51E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.32,0,1,0,0,2,0.55,0,1,1,3.13
Eucalyptus spp.,"(3S,4S)-(-)-p-Menth-1-en-3-ol",CC1=C[C@H]([C@@H](CC1)C(C)C)O,C10H18O,154.25,11,0,0.8,1,1,1,48.76,20.23,2.48,2.13,2.36,2.3,2.04,2.26,-2.07,1.31E+00,8.47E-03,Soluble,-2.19,1.00E+00,6.51E-03,Soluble,-1.46,5.40E+00,3.50E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.73,0,1,0,0,2,0.55,0,1,1,3.52
Eucalyptus spp.,(R)-(+)-p-Menth-1-en-8-ol,CC1=CC[C@@H](CC1)C(O)(C)C,C10H18O,154.25,11,0,0.8,1,1,1,48.8,20.23,2.51,3.39,2.5,2.3,2.17,2.58,-2.87,2.10E-01,1.36E-03,Soluble,-3.49,4.95E-02,3.21E-04,Soluble,-1.69,3.17E+00,2.06E-02,Soluble,High,Yes,No,No,No,No,No,No,-4.83,0,1,0,0,2,0.55,0,1,1,3.24
Eucalyptus spp.,(S)-(-)-p-Menth-1-en-8-ol,CC1=CC[C@H](CC1)C(O)(C)C,C10H18O,154.25,11,0,0.8,1,1,1,48.8,20.23,2.09,3.39,2.5,2.3,2.17,2.49,-2.87,2.10E-01,1.36E-03,Soluble,-3.49,4.95E-02,3.21E-04,Soluble,-1.69,3.17E+00,2.06E-02,Soluble,High,Yes,No,No,No,No,No,No,-4.83,0,1,0,0,2,0.55,0,1,1,3.24
Withania somnifera,Cadaverine,NCCCCCN,C5H14N2,102.18,7,0,1,4,2,2,31.56,52.04,1.39,-0.58,0.07,0.23,-0.11,0.2,0.16,1.46E+02,1.43E+00,Highly soluble,-0.04,9.27E+01,9.07E-01,Very soluble,-1.11,7.93E+00,7.76E-02,Soluble,High,No,No,No,No,No,No,No,-7.34,0,2,0,0,1,0.55,0,0,1,1
Withania somnifera,Anapheline,O=C(C[C@H]1CCCCN1)C[C@H]1CCCCN1,C13H24N2O,224.34,16,0,0.92,4,3,2,74.01,41.13,2.75,0.78,0.86,1.34,2.44,1.63,-1.46,7.81E+00,3.48E-02,Very soluble,-1.22,1.34E+01,5.97E-02,Very soluble,-3.06,1.94E-01,8.63E-04,Soluble,High,Yes,Yes,No,No,No,No,No,-7.11,0,0,0,0,0,0.55,0,0,1,2.6
Withania somnifera,Cuscohygrine,O=C(C[C@@H]1CCCN1C)C[C@H]1CCCN1C,C13H24N2O,224.34,16,0,0.92,4,3,0,74.2,23.55,2.9,1,0.76,1.34,1.77,1.55,-1.6,5.68E+00,2.53E-02,Very soluble,-1.08,1.85E+01,8.25E-02,Very soluble,-1.85,3.17E+00,1.41E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.96,0,0,0,0,0,0.55,0,0,1,2.6
Withania somnifera,Pelletierine,CC(=O)C[C@H]1CCCCN1,C8H15NO,141.21,10,0,0.88,2,2,1,45.37,29.1,2.03,0.36,0.73,0.76,1.69,1.11,-0.81,2.19E+01,1.55E-01,Very soluble,-0.54,4.11E+01,2.91E-01,Very soluble,-1.8,2.22E+00,1.57E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.91,0,1,0,0,1,0.55,0,0,1,1.79
Withania somnifera,Calystegin B2,O[C@H]1[C@@H]2CC[C@](N2)([C@H]([C@H]1O)O)O,C7H13NO4,175.18,12,0,1,0,5,5,42.94,92.95,0,-2.43,-2.86,-1.59,-1.61,-1.7,0.6,7.05E+02,4.03E+00,Highly soluble,1.02,1.83E+03,1.04E+01,Highly soluble,1.36,4.06E+03,2.32E+01,Soluble,Low,No,Yes,No,No,No,No,No,-9.09,0,1,0,0,2,0.55,0,0,1,4.05
Withania somnifera,Pseudotropine,O[C@@H]1C[C@@H]2CC[C@H](C1)N2C,C8H15NO,141.21,10,0,1,0,2,1,44.31,23.47,2.02,0.75,0.22,0.9,0.6,0.9,-1.19,9.16E+00,6.49E-02,Very soluble,-0.82,2.13E+01,1.51E-01,Very soluble,-0.25,7.94E+01,5.62E-01,Soluble,High,No,No,No,No,No,No,No,-6.63,0,1,0,0,1,0.55,0,0,1,3.05
Withania somnifera,Tropine,O[C@@H]1C[C@@H]2CC[C@H](C1)N2C,C8H15NO,141.21,10,0,1,0,2,1,44.31,23.47,2.02,0.75,0.22,0.9,0.6,0.9,-1.19,9.16E+00,6.49E-02,Very soluble,-0.82,2.13E+01,1.51E-01,Very soluble,-0.25,7.94E+01,5.62E-01,Soluble,High,No,No,No,No,No,No,No,-6.63,0,1,0,0,1,0.55,0,0,1,3.05
Withania somnifera,Withasomnine,c1ccc(cc1)c1cnn2c1CCC2,C12H12N2,184.24,14,11,0.25,1,1,0,56.58,17.82,2.1,2.22,2.5,2.34,2.68,2.37,-2.9,2.34E-01,1.27E-03,Soluble,-2.23,1.09E+00,5.90E-03,Soluble,-3.76,3.22E-02,1.75E-04,Soluble,High,Yes,Yes,Yes,No,No,No,No,-5.85,0,0,0,0,1,0.55,0,0,1,2.2
Withania somnifera,beta-Sitosterol,c1ccc(cc1)c1cnn2c1CCC2,C12H12N2,184.24,14,11,0.25,1,1,0,56.58,17.82,2.1,2.22,2.5,2.34,2.68,2.37,-2.9,2.34E-01,1.27E-03,Soluble,-2.23,1.09E+00,5.90E-03,Soluble,-3.76,3.22E-02,1.75E-04,Soluble,High,Yes,Yes,Yes,No,No,No,No,-5.85,0,0,0,0,1,0.55,0,0,1,2.2
Withania somnifera,Stigmasterol,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,C29H50O,414.71,30,0,0.93,6,1,1,133.23,20.23,5.05,9.34,8.02,6.73,7.04,7.24,-7.9,5.23E-06,1.26E-08,Poorly soluble,-9.67,8.90E-08,2.15E-10,Poorly soluble,-6.19,2.69E-04,6.49E-07,Poorly soluble,Low,No,No,No,No,No,No,No,-2.2,1,3,0,1,2,0.55,0,1,2,6.3
Withania somnifera,Withaferin A,OCC1=C(C)C[C@@H](OC1=O)[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2C[C@@H]2[C@]3([C@]1(C)C(=O)C=C[C@@H]3O)O2)C,C28H38O6,470.6,34,0,0.79,3,6,2,127.49,96.36,3.24,3.83,3.35,2.75,3.93,3.42,-4.97,5.01E-03,1.07E-05,Moderately soluble,-5.55,1.33E-03,2.82E-06,Moderately soluble,-3.79,7.54E-02,1.60E-04,Soluble,High,No,Yes,No,No,No,No,No,-6.45,0,1,0,0,0,0.55,0,1,2,6.83
Withania somnifera,Withaferin D,CC1=C(C)C(=O)O[C@H](C1)[C@@]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2C[C@@H]2[C@]3([C@]1(C)C(=O)C=C[C@@H]3O)O2)(O)C,C28H38O6,470.6,34,0,0.79,2,6,2,127.53,96.36,3.8,3.12,3.5,2.75,3.78,3.39,-4.59,1.21E-02,2.56E-05,Moderately soluble,-4.81,7.25E-03,1.54E-05,Moderately soluble,-3.78,7.85E-02,1.67E-04,Soluble,High,No,Yes,No,No,No,No,No,-6.96,0,1,0,0,0,0.55,0,1,1,6.85
Withania somnifera,"2,3-Dihydrowithaferin A",OCC1=C(C)C[C@@H](OC1=O)[C@H]([C@H]1CC[C@@H]2[C@@]1(C)CC[C@H]1[C@H]2C[C@@H]2[C@]3([C@]1(C)C(=O)CC[C@@H]3O)O2)C,C28H40O6,472.61,34,0,0.86,3,6,2,127.96,96.36,3.53,3.82,3.58,2.84,4.34,3.62,-4.98,4.96E-03,1.05E-05,Moderately soluble,-5.54,1.37E-03,2.89E-06,Moderately soluble,-4.26,2.59E-02,5.48E-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-6.47,0,1,0,0,0,0.55,0,1,2,6.75
Withania somnifera,Withanolide A,CC1=C(C)C(=O)O[C@H](C1)[C@@]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2[C@@H]2O[C@@H]2[C@@]2([C@]1(C)C(=O)C=CC2)O)(O)C,C28H38O6,470.6,34,0,0.79,2,6,2,127.53,96.36,3.68,3.25,3.5,2.75,3.78,3.39,-4.67,9.99E-03,2.12E-05,Moderately soluble,-4.95,5.31E-03,1.13E-05,Moderately soluble,-3.78,7.85E-02,1.67E-04,Soluble,High,No,Yes,No,No,No,No,No,-6.86,0,1,0,0,0,0.55,0,1,1,6.39
Withania somnifera,Lycium substance B,CC1=C(C)C(=O)O[C@H](C1)[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2[C@@H]2O[C@@H]2[C@@]2([C@]1(C)C(=O)C=CC2)O)C,C28H38O5,454.6,33,0,0.79,2,5,1,126.33,76.13,3.54,4.66,4.38,3.57,4.54,4.14,-5.46,1.57E-03,3.45E-06,Moderately soluble,-5.99,4.70E-04,1.03E-06,Moderately soluble,-4.37,1.94E-02,4.28E-05,Moderately soluble,High,No,Yes,No,No,Yes,No,No,-5.76,0,1,0,0,0,0.55,0,1,2,6.34
Withania somnifera,Withacoagin,CC1=C(C)C(=O)O[C@H](C1)[C@@]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2C=C[C@@]2([C@]1(C)C(=O)C=CC2)O)(O)C,C28H38O5,454.6,33,0,0.71,2,5,2,128.08,83.83,3.88,3.92,4.28,3.48,3.94,3.9,-5,4.59E-03,1.01E-05,Moderately soluble,-5.38,1.90E-03,4.17E-06,Moderately soluble,-4.05,4.01E-02,8.83E-05,Moderately soluble,High,No,Yes,No,No,Yes,No,No,-6.29,0,1,0,0,0,0.55,0,1,2,6.28
Withania somnifera,Withanone,CC1=C(C)C(=O)O[C@H](C1)[C@H]([C@@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2[C@@H]2O[C@@H]2[C@@]2([C@]1(C)C(=O)C=CC2)O)C,C28H38O6,470.6,34,0,0.79,2,6,2,127.53,96.36,3.46,3.05,3.5,2.75,4.04,3.36,-4.55,1.33E-02,2.84E-05,Moderately soluble,-4.74,8.57E-03,1.82E-05,Moderately soluble,-4,4.74E-02,1.01E-04,Soluble,High,No,Yes,No,No,No,No,No,-7.01,0,1,0,0,0,0.55,0,1,1,6.38
Withania somnifera,27-Hydroxywithanone,OCC1=C(C)C[C@@H](OC1=O)[C@H]([C@@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2[C@@H]2O[C@@H]2[C@@]2([C@]1(C)C(=O)C=CC2)O)C,C28H38O7,486.6,35,0,0.79,3,7,3,128.69,116.59,3.2,2.35,2.47,1.95,3.44,2.68,-4.14,3.53E-02,7.25E-05,Moderately soluble,-4.44,1.77E-02,3.65E-05,Moderately soluble,-3.42,1.84E-01,3.78E-04,Soluble,High,No,Yes,No,No,No,No,No,-7.6,0,2,0,0,0,0.55,0,1,1,6.41
Withania somnifera,Withastramonolide,OCC1=C(C)C[C@@H](OC1=O)[C@H]([C@H]1CC[C@@H]2[C@]1(C)[C@@H](O)C[C@H]1[C@H]2[C@@H]2O[C@@H]2[C@@]2([C@]1(C)C(=O)C=CC2)O)C,C28H38O7,486.6,35,0,0.79,3,7,3,128.65,116.59,3.22,2.62,2.32,1.95,3.04,2.63,-4.31,2.39E-02,4.90E-05,Moderately soluble,-4.72,9.31E-03,1.91E-05,Moderately soluble,-2.97,5.18E-01,1.06E-03,Soluble,High,No,Yes,No,No,No,No,No,-7.41,0,2,0,0,0,0.55,0,1,1,6.46
Withania somnifera,17-Hydroxy withaferin A,OCC1=C(C)C[C@@H](OC1=O)[C@H]([C@@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2C[C@@H]2[C@]3([C@]1(C)C(=O)C=C[C@@H]3O)O2)C,C28H38O7,486.6,35,0,0.79,3,7,3,128.69,116.59,3.35,2.22,2.47,1.95,3.44,2.68,-4.06,4.26E-02,8.76E-05,Moderately soluble,-4.3,2.42E-02,4.97E-05,Moderately soluble,-3.42,1.84E-01,3.78E-04,Soluble,High,No,Yes,No,No,No,No,No,-7.69,0,2,0,0,0,0.55,0,1,1,6.86
Withania somnifera,Calystegine C1,O[C@@H]1C[C@@]2(N[C@H]1[C@H](O)[C@H]([C@@H]2O)O)O,C7H13NO5,191.18,13,0,1,0,6,6,44.1,113.18,-1.41,-3.41,-3.89,-2.4,-2.5,-2.72,1.12,2.54E+03,1.33E+01,Highly soluble,1.61,7.80E+03,4.08E+01,Highly soluble,2.17,2.80E+04,1.46E+02,Soluble,Low,No,Yes,No,No,No,No,No,-9.89,1,1,0,0,3,0.55,0,0,1,4.18
Withania somnifera,Tropinone,CN1[C@@H]2CC[C@H]1CC(=O)C2,C8H13NO,139.19,10,0,0.88,0,2,0,43.35,20.31,1.8,0.34,0.43,0.76,1.19,0.9,-0.92,1.68E+01,1.21E-01,Very soluble,-0.33,6.50E+01,4.67E-01,Very soluble,-0.94,1.59E+01,1.14E-01,Soluble,High,No,No,No,No,No,No,No,-6.91,0,1,0,0,1,0.55,0,0,1,2.78
Withania somnifera,N-Methylpelletierine,CC(=O)C[C@@H]1CCCCN1C,C9H17NO,155.24,11,0,0.89,2,2,0,50.27,20.31,1.97,0.83,1.07,1.07,1.58,1.3,-1.19,9.95E+00,6.41E-02,Very soluble,-0.84,2.25E+01,1.45E-01,Very soluble,-1.49,5.06E+00,3.26E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.66,0,1,0,0,1,0.55,0,0,1,1.89
Withania somnifera,5-Aminopentanal,NCCCCC=O,C5H11NO,101.15,7,0,0.8,4,2,1,29.06,43.09,1.1,-0.57,0.31,0.08,0.44,0.27,0.16,1.45E+02,1.43E+00,Highly soluble,0.14,1.38E+02,1.37E+00,Highly soluble,-1.01,9.84E+00,9.73E-02,Soluble,High,No,No,No,No,No,No,No,-7.32,0,3,0,0,1,0.55,0,1,1,1
ziziphus mucronata,Mucronine B,CC[C@@H]([C@@H]1NC(=O)[C@@H](NC)Cc2cc(/C=C\NC(=O)[C@@H](NC1=O)Cc1ccccc1)ccc2OC)C,C28H36N4O4,492.61,36,12,0.39,6,5,4,151.6,108.56,3.63,3.64,0.93,1.36,3.01,2.52,-5.04,4.51E-03,9.16E-06,Moderately soluble,-5.61,1.21E-03,2.46E-06,Moderately soluble,-8.11,3.83E-06,7.78E-09,Poorly soluble,High,No,Yes,No,No,No,No,Yes,-6.72,0,3,0,0,0,0.55,0,0,2,6.12
